t	Cl	Cl	Cl
1.25089999999988	5.59452177607526	5.03376283640374	5.0002376100366
1.25099999999988	5.59457961010026	5.03377243820906	5.00023765854266
1.25109999999988	5.59463744514451	5.03378204296209	5.00023770705513
1.25119999999988	5.59469528120805	5.03379165066394	5.000237755574
1.25129999999988	5.59475311829094	5.03380126131574	5.00023780409928
1.25139999999988	5.59481095639325	5.03381087491862	5.00023785263097
1.25149999999988	5.59486879551502	5.03382049147371	5.00023790116906
1.25159999999988	5.59492663565631	5.03383011098212	5.00023794971356
1.25169999999988	5.59498447681718	5.03383973344499	5.00023799826447
1.25179999999988	5.59504231899768	5.03384935886345	5.00023804682179
1.25189999999988	5.59510016219788	5.03385898723862	5.00023809538552
1.25199999999988	5.59515800641783	5.03386861857163	5.00023814395567
1.25209999999988	5.59521585165758	5.03387825286362	5.00023819253223
1.25219999999988	5.59527369791719	5.0338878901157	5.0002382411152
1.25229999999988	5.59533154519672	5.03389753032902	5.00023828970459
1.25239999999988	5.59538939349623	5.03390717350469	5.00023833830039
1.25249999999988	5.59544724281577	5.03391681964386	5.00023838690262
1.25259999999988	5.59550509315539	5.03392646874766	5.00023843551126
1.25269999999988	5.59556294451516	5.03393612081721	5.00023848412632
1.25279999999988	5.59562079689514	5.03394577585366	5.00023853274781
1.25289999999988	5.59567865029536	5.03395543385812	5.00023858137571
1.25299999999988	5.59573650471591	5.03396509483174	5.00023863001004
1.25309999999988	5.59579436015682	5.03397475877566	5.00023867865079
1.25319999999988	5.59585221661816	5.033984425691	5.00023872729796
1.25329999999988	5.59591007409998	5.0339940955789	5.00023877595156
1.25339999999988	5.59596793260234	5.03400376844049	5.00023882461159
1.25349999999988	5.5960257921253	5.03401344427693	5.00023887327805
1.25359999999988	5.59608365266892	5.03402312308933	5.00023892195093
1.25369999999988	5.59614151423324	5.03403280487884	5.00023897063025
1.25379999999988	5.59619937681832	5.03404248964659	5.000239019316
1.25389999999988	5.59625724042423	5.03405217739373	5.00023906800817
1.25399999999988	5.59631510505101	5.03406186812139	5.00023911670678
1.25409999999988	5.59637297069873	5.03407156183072	5.00023916541183
1.25419999999988	5.59643083736744	5.03408125852284	5.00023921412331
1.25429999999988	5.5964887050572	5.03409095819891	5.00023926284123
1.25439999999988	5.59654657376806	5.03410066086006	5.00023931156558
1.25449999999988	5.59660444350008	5.03411036650743	5.00023936029637
1.25459999999988	5.59666231425332	5.03412007514218	5.0002394090336
1.25469999999988	5.59672018602783	5.03412978676543	5.00023945777727
1.25479999999988	5.59677805882367	5.03413950137833	5.00023950652738
1.25489999999988	5.59683593264089	5.03414921898204	5.00023955528393
1.25499999999988	5.59689380747955	5.03415893957768	5.00023960404693
1.25509999999988	5.59695168333972	5.0341686631664	5.00023965281637
1.25519999999988	5.59700956022143	5.03417838974936	5.00023970159226
1.25529999999988	5.59706743812475	5.03418811932769	5.00023975037459
1.25539999999988	5.59712531704974	5.03419785190254	5.00023979916336
1.25549999999988	5.59718319699646	5.03420758747506	5.00023984795859
1.25559999999988	5.59724107796495	5.03421732604639	5.00023989676027
1.25569999999988	5.59729895995527	5.03422706761769	5.00023994556839
1.25579999999988	5.59735684296749	5.03423681219009	5.00023999438297
1.25589999999988	5.59741472700165	5.03424655976476	5.000240043204
1.25599999999988	5.59747261205782	5.03425631034284	5.00024009203149
1.25609999999988	5.59753049813604	5.03426606392547	5.00024014086543
1.25619999999988	5.59758838523638	5.03427582051382	5.00024018970582
1.25629999999988	5.59764627335889	5.03428558010902	5.00024023855267
1.25639999999988	5.59770416250363	5.03429534271223	5.00024028740598
1.25649999999988	5.59776205267065	5.03430510832461	5.00024033626574
1.25659999999988	5.59781994386002	5.0343148769473	5.00024038513197
1.25669999999988	5.59787783607178	5.03432464858146	5.00024043400465
1.25679999999988	5.59793572930598	5.03433442322824	5.0002404828838
1.25689999999988	5.5979936235627	5.0343442008888	5.00024053176941
1.25699999999988	5.59805151884198	5.03435398156429	5.00024058066148
1.25709999999988	5.59810941514388	5.03436376525586	5.00024062956002
1.25719999999988	5.59816731246846	5.03437355196467	5.00024067846503
1.25729999999988	5.59822521081577	5.03438334169187	5.00024072737649
1.25739999999988	5.59828311018587	5.03439313443863	5.00024077629443
1.25749999999988	5.59834101057881	5.0344029302061	5.00024082521884
1.25759999999988	5.59839891199465	5.03441272899544	5.00024087414972
1.25769999999988	5.59845681443345	5.0344225308078	5.00024092308706
1.25779999999988	5.59851471789525	5.03443233564434	5.00024097203088
1.25789999999988	5.59857262238013	5.03444214350623	5.00024102098117
1.25799999999988	5.59863052788813	5.03445195439462	5.00024106993794
1.25809999999988	5.59868843441931	5.03446176831067	5.00024111890118
1.25819999999988	5.59874634197372	5.03447158525555	5.0002411678709
1.25829999999988	5.59880425055143	5.03448140523041	5.00024121684709
1.25839999999988	5.59886216015248	5.03449122823642	5.00024126582976
1.25849999999988	5.59892007077694	5.03450105427473	5.00024131481891
1.25859999999988	5.59897798242486	5.03451088334652	5.00024136381454
1.25869999999988	5.59903589509629	5.03452071545294	5.00024141281665
1.25879999999988	5.59909380879129	5.03453055059517	5.00024146182525
1.25889999999988	5.59915172350991	5.03454038877435	5.00024151084032
1.25899999999988	5.59920963925222	5.03455022999166	5.00024155986188
1.25909999999988	5.59926755601827	5.03456007424827	5.00024160888993
1.25919999999988	5.59932547380811	5.03456992154533	5.00024165792446
1.25929999999988	5.59938339262181	5.03457977188402	5.00024170696548
1.25939999999988	5.5994413124594	5.03458962526551	5.00024175601298
1.25949999999988	5.59949923332096	5.03459948169095	5.00024180506698
1.25959999999988	5.59955715520654	5.03460934116152	5.00024185412747
1.25969999999988	5.59961507811619	5.03461920367839	5.00024190319444
1.25979999999988	5.59967300204996	5.03462906924273	5.00024195226791
1.25989999999988	5.59973092700793	5.0346389378557	5.00024200134788
1.25999999999988	5.59978885299013	5.03464880951848	5.00024205043434
1.26009999999988	5.59984677999663	5.03465868423224	5.00024209952729
1.26019999999988	5.59990470802747	5.03466856199814	5.00024214862674
1.26029999999988	5.59996263708273	5.03467844281736	5.00024219773269
1.26039999999988	5.60002056716245	5.03468832669108	5.00024224684513
1.26049999999988	5.60007849826669	5.03469821362046	5.00024229596408
1.26059999999988	5.6001364303955	5.03470810360668	5.00024234508952
1.26069999999988	5.60019436354894	5.0347179966509	5.00024239422147
1.26079999999988	5.60025229772707	5.03472789275432	5.00024244335992
1.26089999999988	5.60031023292993	5.0347377919181	5.00024249250488
1.26099999999988	5.6003681691576	5.03474769414342	5.00024254165634
1.26109999999988	5.60042610641011	5.03475759943145	5.0002425908143
1.26119999999988	5.60048404468754	5.03476750778337	5.00024263997877
1.26129999999988	5.60054198398993	5.03477741920035	5.00024268914975
1.26139999999988	5.60059992431733	5.03478733368358	5.00024273832724
1.26149999999988	5.60065786566981	5.03479725123423	5.00024278751124
1.26159999999988	5.60071580804743	5.03480717185349	5.00024283670174
1.26169999999988	5.60077375145022	5.03481709554252	5.00024288589876
1.26179999999988	5.60083169587826	5.03482702230252	5.0002429351023
1.26189999999988	5.6008896413316	5.03483695213466	5.00024298431234
1.26199999999988	5.60094758781028	5.03484688504011	5.00024303352891
1.26209999999988	5.60100553531438	5.03485682102007	5.00024308275199
1.26219999999988	5.60106348384393	5.03486676007571	5.00024313198158
1.26229999999988	5.60112143339901	5.03487670220823	5.0002431812177
1.26239999999988	5.60117938397966	5.03488664741879	5.00024323046033
1.26249999999988	5.60123733558594	5.03489659570858	5.00024327970948
1.26259999999988	5.60129528821791	5.0349065470788	5.00024332896516
1.26269999999988	5.60135324187561	5.03491650153061	5.00024337822736
1.26279999999988	5.60141119655911	5.03492645906521	5.00024342749608
1.26289999999988	5.60146915226847	5.03493641968379	5.00024347677132
1.26299999999988	5.60152710900373	5.03494638338752	5.00024352605309
1.26309999999988	5.60158506676495	5.0349563501776	5.00024357534139
1.26319999999988	5.60164302555219	5.03496632005522	5.00024362463622
1.26329999999988	5.6017009853655	5.03497629302155	5.00024367393757
1.26339999999988	5.60175894620494	5.0349862690778	5.00024372324545
1.26349999999988	5.60181690807056	5.03499624822514	5.00024377255986
1.26359999999988	5.60187487096242	5.03500623046477	5.00024382188081
1.26369999999988	5.60193283488058	5.03501621579788	5.00024387120829
1.26379999999988	5.60199079982509	5.03502620422565	5.0002439205423
1.26389999999988	5.602048765796	5.03503619574929	5.00024396988284
1.26399999999988	5.60210673279337	5.03504619036997	5.00024401922993
1.26409999999988	5.60216470081725	5.0350561880889	5.00024406858354
1.26419999999988	5.60222266986771	5.03506618890726	5.0002441179437
1.26429999999988	5.60228063994479	5.03507619282626	5.0002441673104
1.26439999999988	5.60233861104856	5.03508619984707	5.00024421668363
1.26449999999988	5.60239658317906	5.0350962099709	5.00024426606341
1.26459999999988	5.60245455633635	5.03510622319895	5.00024431544973
1.26469999999988	5.60251253052049	5.0351162395324	5.00024436484259
1.26479999999988	5.60257050573153	5.03512625897245	5.00024441424199
1.26489999999988	5.60262848196953	5.0351362815203	5.00024446364794
1.26499999999988	5.60268645923455	5.03514630717715	5.00024451306044
1.26509999999988	5.60274443752663	5.0351563359442	5.00024456247949
1.26519999999988	5.60280241684583	5.03516636782263	5.00024461190508
1.26529999999988	5.60286039719221	5.03517640281366	5.00024466133722
1.26539999999988	5.60291837856583	5.03518644091847	5.00024471077591
1.26549999999988	5.60297636096673	5.03519648213828	5.00024476022116
1.26559999999988	5.60303434439498	5.03520652647427	5.00024480967295
1.26569999999988	5.60309232885062	5.03521657392765	5.0002448591313
1.26579999999988	5.60315031433372	5.03522662449963	5.00024490859621
1.26589999999988	5.60320830084433	5.0352366781914	5.00024495806767
1.26599999999988	5.6032662883825	5.03524673500417	5.00024500754568
1.26609999999988	5.60332427694829	5.03525679493914	5.00024505703026
1.26619999999988	5.60338226654176	5.03526685799751	5.00024510652139
1.26629999999988	5.60344025716295	5.03527692418048	5.00024515601908
1.26639999999988	5.60349824881193	5.03528699348927	5.00024520552334
1.26649999999988	5.60355624148875	5.03529706592507	5.00024525503415
1.26659999999988	5.60361423519347	5.0353071414891	5.00024530455153
1.26669999999988	5.60367222992613	5.03531722018255	5.00024535407547
1.26679999999988	5.60373022568679	5.03532730200664	5.00024540360598
1.26689999999988	5.60378822247552	5.03533738696257	5.00024545314305
1.26699999999988	5.60384622029236	5.03534747505156	5.00024550268669
1.26709999999988	5.60390421913737	5.0353575662748	5.0002455522369
1.26719999999988	5.60396221901061	5.03536766063351	5.00024560179368
1.26729999999988	5.60402021991212	5.0353777581289	5.00024565135703
1.26739999999988	5.60407822184197	5.03538785876218	5.00024570092695
1.26749999999988	5.60413622480021	5.03539796253455	5.00024575050344
1.26759999999988	5.60419422878689	5.03540806944724	5.0002458000865
1.26769999999988	5.60425223380207	5.03541817950144	5.00024584967614
1.26779999999988	5.60431023984581	5.03542829269838	5.00024589927236
1.26789999999988	5.60436824691815	5.03543840903927	5.00024594887515
1.26799999999988	5.60442625501916	5.03544852852532	5.00024599848452
1.26809999999988	5.60448426414889	5.03545865115774	5.00024604810047
1.26819999999988	5.60454227430739	5.03546877693775	5.00024609772299
1.26829999999988	5.60460028549471	5.03547890586656	5.0002461473521
1.26839999999988	5.60465829771093	5.03548903794539	5.00024619698779
1.26849999999988	5.60471631095608	5.03549917317546	5.00024624663007
1.26859999999988	5.60477432523022	5.03550931155798	5.00024629627892
1.26869999999988	5.60483234053341	5.03551945309417	5.00024634593436
1.26879999999988	5.60489035686571	5.03552959778525	5.00024639559639
1.26889999999988	5.60494837422716	5.03553974563243	5.00024644526501
1.26899999999988	5.60500639261782	5.03554989663694	5.00024649494021
1.26909999999988	5.60506441203775	5.03556005079999	5.000246544622
1.26919999999988	5.60512243248701	5.03557020812281	5.00024659431038
1.26929999999988	5.60518045396564	5.03558036860661	5.00024664400535
1.26939999999988	5.6052384764737	5.03559053225261	5.00024669370692
1.26949999999988	5.60529650001124	5.03560069906205	5.00024674341508
1.26959999999988	5.60535452457833	5.03561086903613	5.00024679312983
1.26969999999988	5.60541255017501	5.03562104217608	5.00024684285118
1.26979999999988	5.60547057680135	5.03563121848314	5.00024689257913
1.26989999999988	5.60552860445739	5.03564139795851	5.00024694231367
1.26999999999988	5.60558663314318	5.03565158060343	5.00024699205481
1.27009999999988	5.6056446628588	5.03566176641911	5.00024704180255
1.27019999999988	5.60570269360428	5.03567195540679	5.00024709155689
1.27029999999988	5.60576072537968	5.03568214756769	5.00024714131784
1.27039999999988	5.60581875818507	5.03569234290305	5.00024719108538
1.27049999999988	5.60587679202048	5.03570254141407	5.00024724085953
1.27059999999988	5.60593482688599	5.035712743102	5.00024729064028
1.27069999999988	5.60599286278163	5.03572294796806	5.00024734042764
1.27079999999988	5.60605089970748	5.03573315601349	5.00024739022161
1.27089999999988	5.60610893766357	5.0357433672395	5.00024744002219
1.27099999999988	5.60616697664997	5.03575358164733	5.00024748982937
1.27109999999988	5.60622501666673	5.03576379923821	5.00024753964317
1.27119999999988	5.60628305771391	5.03577402001338	5.00024758946357
1.27129999999988	5.60634109979156	5.03578424397406	5.00024763929059
1.27139999999988	5.60639914289973	5.03579447112148	5.00024768912422
1.27149999999988	5.60645718703848	5.03580470145689	5.00024773896447
1.27159999999988	5.60651523220786	5.0358149349815	5.00024778881133
1.27169999999988	5.60657327840793	5.03582517169656	5.00024783866481
1.27179999999988	5.60663132563874	5.03583541160331	5.0002478885249
1.27189999999988	5.60668937390036	5.03584565470297	5.00024793839162
1.27199999999988	5.60674742319282	5.03585590099678	5.00024798826495
1.27209999999988	5.60680547351619	5.03586615048598	5.0002480381449
1.27219999999988	5.60686352487051	5.0358764031718	5.00024808803148
1.27229999999988	5.60692157725586	5.03588665905548	5.00024813792468
1.27239999999988	5.60697963067227	5.03589691813827	5.0002481878245
1.27249999999988	5.60703768511981	5.0359071804214	5.00024823773095
1.27259999999988	5.60709574059852	5.0359174459061	5.00024828764403
1.27269999999988	5.60715379710847	5.03592771459362	5.00024833756373
1.27279999999988	5.60721185464971	5.0359379864852	5.00024838749006
1.27289999999988	5.60726991322228	5.03594826158207	5.00024843742301
1.27299999999988	5.60732797282626	5.03595853988549	5.0002484873626
1.27309999999988	5.60738603346168	5.03596882139669	5.00024853730882
1.27319999999988	5.60744409512861	5.03597910611691	5.00024858726167
1.27329999999988	5.60750215782709	5.0359893940474	5.00024863722116
1.27339999999988	5.60756022155719	5.0359996851894	5.00024868718728
1.27349999999988	5.60761828631896	5.03600997954415	5.00024873716004
1.27359999999988	5.60767635211245	5.0360202771129	5.00024878713943
1.27369999999988	5.60773441893772	5.0360305778969	5.00024883712546
1.27379999999988	5.60779248679482	5.03604088189739	5.00024888711813
1.27389999999988	5.6078505556838	5.03605118911562	5.00024893711744
1.27399999999988	5.60790862560472	5.03606149955283	5.00024898712339
1.27409999999988	5.60796669655764	5.03607181321027	5.00024903713598
1.27419999999988	5.6080247685426	5.03608213008919	5.00024908715521
1.27429999999988	5.60808284155967	5.03609245019084	5.00024913718109
1.27439999999988	5.60814091560889	5.03610277351647	5.00024918721362
1.27449999999988	5.60819899069033	5.03611310006732	5.00024923725278
1.27459999999988	5.60825706680402	5.03612342984466	5.0002492872986
1.27469999999988	5.60831514395004	5.03613376284972	5.00024933735107
1.27479999999988	5.60837322212843	5.03614409908376	5.00024938741018
1.27489999999988	5.60843130133925	5.03615443854804	5.00024943747595
1.27499999999988	5.60848938158255	5.0361647812438	5.00024948754836
1.27509999999988	5.60854746285839	5.0361751271723	5.00024953762743
1.27519999999988	5.60860554516682	5.03618547633479	5.00024958771315
1.27529999999988	5.60866362850789	5.03619582873253	5.00024963780553
1.27539999999988	5.60872171288166	5.03620618436677	5.00024968790456
1.27549999999988	5.60877979828818	5.03621654323877	5.00024973801025
