t	fs	fs	fs
1.79509999999982	0.179258694887069	0.180400171438164	0.16797309517996
1.79519999999982	0.179268640696241	0.180410485497428	0.167984272271643
1.79529999999982	0.179278586476514	0.180420799430746	0.167995449291321
1.79539999999982	0.179288532227887	0.18043111323812	0.168006626239
1.79549999999982	0.179298477950361	0.180441426919555	0.168017803114686
1.79559999999982	0.179308423643935	0.180451740475054	0.168028979918384
1.79569999999982	0.17931836930861	0.18046205390462	0.1680401566501
1.79579999999982	0.179328314944385	0.180472367208259	0.168051333309841
1.79589999999982	0.17933826055126	0.180482680385972	0.168062509897611
1.79599999999982	0.179348206129236	0.180492993437764	0.168073686413417
1.79609999999982	0.179358151678312	0.180503306363639	0.168084862857264
1.79619999999982	0.179368097198488	0.1805136191636	0.168096039229158
1.79629999999982	0.179378042689764	0.180523931837652	0.168107215529105
1.79639999999982	0.17938798815214	0.180534244385797	0.16811839175711
1.79649999999982	0.179397933585617	0.180544556808039	0.16812956791318
1.79659999999982	0.179407878990193	0.180554869104383	0.168140743997319
1.79669999999982	0.179417824365869	0.180565181274832	0.168151920009534
1.79679999999982	0.179427769712645	0.18057549331939	0.168163095949831
1.79689999999982	0.179437715030521	0.18058580523806	0.168174271818215
1.79699999999982	0.179447660319497	0.180596117030847	0.168185447614691
1.79709999999982	0.179457605579572	0.180606428697754	0.168196623339266
1.79719999999982	0.179467550810748	0.180616740238784	0.168207798991945
1.79729999999982	0.179477496013023	0.180627051653943	0.168218974572735
1.79739999999982	0.179487441186397	0.180637362943233	0.16823015008164
1.79749999999982	0.179497386330871	0.180647674106659	0.168241325518666
1.79759999999982	0.179507331446445	0.180657985144224	0.16825250088382
1.79769999999982	0.179517276533118	0.180668296055933	0.168263676177106
1.79779999999982	0.17952722159089	0.180678606841788	0.168274851398531
1.79789999999982	0.179537166619762	0.180688917501794	0.1682860265481
1.79799999999982	0.179547111619733	0.180699228035955	0.168297201625819
1.79809999999982	0.179557056590803	0.180709538444275	0.168308376631693
1.79819999999982	0.179567001532973	0.180719848726757	0.168319551565729
1.79829999999982	0.179576946446241	0.180730158883406	0.168330726427931
1.79839999999982	0.179586891330609	0.180740468914225	0.168341901218306
1.79849999999982	0.179596836186076	0.180750778819218	0.16835307593686
1.79859999999982	0.179606781012642	0.18076108859839	0.168364250583597
1.79869999999982	0.179616725810307	0.180771398251743	0.168375425158524
1.79879999999982	0.17962667057907	0.180781707779283	0.168386599661647
1.79889999999982	0.179636615318933	0.180792017181013	0.16839777409297
1.79899999999982	0.179646560029894	0.180802326456937	0.1684089484525
1.79909999999982	0.179656504711954	0.180812635607059	0.168420122740242
1.79919999999982	0.179666449365113	0.180822944631384	0.168431296956202
1.79929999999982	0.179676393989371	0.180833253529914	0.168442471100386
1.79939999999982	0.179686338584727	0.180843562302654	0.168453645172799
1.79949999999982	0.179696283151181	0.180853870949608	0.168464819173447
1.79959999999982	0.179706227688735	0.18086417947078	0.168475993102335
1.79969999999982	0.179716172197386	0.180874487866175	0.16848716695947
1.79979999999982	0.179726116677136	0.180884796135795	0.168498340744857
1.79989999999982	0.179736061127984	0.180895104279646	0.168509514458501
1.79999999999982	0.179746005549931	0.180905412297731	0.168520688100408
1.80009999999982	0.179755949942975	0.180915720190054	0.168531861670583
1.80019999999982	0.179765894307118	0.180926027956619	0.168543035169033
1.80029999999982	0.179775838642359	0.180936335597431	0.168554208595764
1.80039999999982	0.179785782948699	0.180946643112494	0.168565381950779
1.80049999999982	0.179795727226136	0.180956950501811	0.168576555234086
1.80059999999982	0.179805671474671	0.180967257765387	0.16858772844569
1.80069999999982	0.179815615694304	0.180977564903226	0.168598901585597
1.80079999999982	0.179825559885035	0.180987871915332	0.168610074653811
1.80089999999982	0.179835504046863	0.180998178801709	0.168621247650339
1.80099999999982	0.17984544817979	0.181008485562361	0.168632420575186
1.80109999999982	0.179855392283814	0.181018792197293	0.168643593428359
1.80119999999982	0.179865336358935	0.181029098706508	0.168654766209861
1.80129999999982	0.179875280405154	0.181039405090012	0.1686659389197
1.80139999999982	0.179885224422471	0.181049711347807	0.168677111557881
1.80149999999982	0.179895168410885	0.181060017479898	0.168688284124409
1.80159999999982	0.179905112370397	0.18107032348629	0.16869945661929
1.80169999999982	0.179915056301006	0.181080629366986	0.168710629042529
1.80179999999982	0.179925000202712	0.181090935121991	0.168721801394132
