t	fg	fg	fg
0.755599999999933	0.255632534033442	0.379479029476946	0.120366931737455
0.755699999999933	0.255647842682322	0.379553569953014	0.120418135644848
0.755799999999933	0.255663148967464	0.379628107959934	0.120469338088857
0.755899999999933	0.255678452889851	0.379702643497471	0.12052053906794
0.755999999999933	0.255693754450463	0.379777176565395	0.120571738580559
0.756099999999933	0.255709053650281	0.379851707163472	0.120622936625179
0.756199999999933	0.255724350490285	0.379926235291468	0.120674133200272
0.756299999999933	0.255739644971454	0.380000760949151	0.120725328304314
0.756399999999933	0.255754937094767	0.380075284136286	0.120776521935785
0.756499999999933	0.255770226861202	0.38014980485264	0.12082771409317
0.756599999999933	0.255785514271737	0.380224323097978	0.120878904774957
0.756699999999933	0.255800799327349	0.380298838872067	0.120930093979641
0.756799999999933	0.255816082029014	0.38037335217467	0.120981281705719
0.756899999999933	0.255831362377709	0.380447863005554	0.121032467951696
0.756999999999933	0.255846640374408	0.380522371364483	0.121083652716078
0.757099999999933	0.255861916020087	0.380596877251222	0.121134835997377
0.757199999999933	0.25587718931572	0.380671380665534	0.121186017794109
0.757299999999933	0.25589246026228	0.380745881607185	0.121237198104796
0.757399999999933	0.255907728860741	0.380820380075936	0.121288376927963
0.757499999999933	0.255922995112074	0.380894876071553	0.121339554262139
0.757599999999933	0.255938259017253	0.380969369593798	0.121390730105858
0.757699999999933	0.255953520577248	0.381043860642435	0.12144190445766
0.757799999999933	0.25596877979303	0.381118349217225	0.121493077316088
0.757899999999933	0.255984036665569	0.381192835317931	0.121544248679688
0.757999999999933	0.255999291195836	0.381267318944316	0.121595418547014
0.758099999999933	0.256014543384799	0.381341800096142	0.121646586916621
0.758199999999933	0.256029793233427	0.38141627877317	0.121697753787071
0.758299999999933	0.256045040742687	0.381490754975162	0.121748919156928
0.758399999999933	0.256060285913548	0.381565228701878	0.121800083024761
0.758499999999933	0.256075528746975	0.381639699953081	0.121851245389146
0.758599999999933	0.256090769243936	0.381714168728529	0.12190240624866
0.758699999999933	0.256106007405396	0.381788635027985	0.121953565601886
0.758799999999933	0.25612124323232	0.381863098851208	0.122004723447411
