t	Rg	Rg	Rg
1.86209999999981	7.66214223746317E-05	0.00140790694502441	0.00983507763427032
1.86219999999981	7.66220596938038E-05	0.00140795244569607	0.00983542703803492
1.86229999999981	7.66226969870976E-05	0.00140799793800412	0.00983577644179722
1.86239999999981	7.66233342545163E-05	0.00140804342194483	0.00983612584555928
1.86249999999981	7.66239714960631E-05	0.00140808889751446	0.00983647524932315
1.86259999999981	7.66246087117411E-05	0.00140813436470928	0.0098368246530909
1.86269999999981	7.66252459015535E-05	0.00140817982352556	0.00983717405686459
1.86279999999981	7.66258830655034E-05	0.00140822527395957	0.00983752346064629
1.86289999999981	7.66265202035941E-05	0.00140827071600758	0.00983787286443804
1.86299999999981	7.66271573158285E-05	0.00140831614966587	0.00983822226824192
1.86309999999981	7.662779440221E-05	0.0014083615749307	0.00983857167205997
1.86319999999981	7.66284314627416E-05	0.00140840699179834	0.00983892107589428
1.86329999999981	7.66290684974265E-05	0.00140845240026507	0.00983927047974688
1.86339999999981	7.66297055062679E-05	0.00140849780032717	0.00983961988361985
1.86349999999981	7.66303424892689E-05	0.0014085431919809	0.00983996928751524
1.86359999999981	7.66309794464326E-05	0.00140858857522254	0.00984031869143511
1.86369999999981	7.66316163777622E-05	0.00140863395004837	0.00984066809538152
1.86379999999981	7.66322532832609E-05	0.00140867931645466	0.00984101749935654
1.86389999999981	7.66328901629317E-05	0.00140872467443769	0.00984136690336222
1.86399999999981	7.66335270167779E-05	0.00140877002399373	0.00984171630740062
1.86409999999981	7.66341638448026E-05	0.00140881536511907	0.00984206571147379
1.86419999999981	7.6634800647009E-05	0.00140886069780999	0.00984241511558381
1.86429999999981	7.66354374234001E-05	0.00140890602206275	0.00984276451973272
1.86439999999981	7.66360741739791E-05	0.00140895133787365	0.0098431139239226
1.86449999999981	7.66367108987492E-05	0.00140899664523897	0.00984346332815548
1.86459999999981	7.66373475977135E-05	0.00140904194415498	0.00984381273243344
1.86469999999981	7.66379842708752E-05	0.00140908723461797	0.00984416213675854
1.86479999999981	7.66386209182374E-05	0.00140913251662422	0.00984451154113282
1.86489999999981	7.66392575398033E-05	0.00140917779017001	0.00984486094555835
1.86499999999981	7.66398941355759E-05	0.00140922305525163	0.00984521035003719
1.86509999999981	7.66405307055584E-05	0.00140926831186536	0.00984555975457139
1.86519999999981	7.6641167249754E-05	0.00140931356000749	0.00984590915916302
1.86529999999981	7.66418037681658E-05	0.00140935879967431	0.00984625856381412
1.86539999999981	7.6642440260797E-05	0.0014094040308621	0.00984660796852677
1.86549999999981	7.66430767276507E-05	0.00140944925356715	0.00984695737330301
1.86559999999981	7.664371316873E-05	0.00140949446778575	0.0098473067781449
1.86569999999981	7.6644349584038E-05	0.00140953967351418	0.0098476561830545
1.86579999999981	7.66449859735779E-05	0.00140958487074875	0.00984800558803387
1.86589999999981	7.66456223373529E-05	0.00140963005948572	0.00984835499308507
