t	fg2D	fg2D	fg2D
0.736499999999935	0.39966455545035	0.510918108433185	0.230358690084802
0.736599999999935	0.399681194594673	0.510988064697115	0.230430148062801
0.736699999999935	0.399697830690803	0.511058013906896	0.230501593473792
0.736799999999935	0.399714463740097	0.511127956064138	0.230573026321704
0.736899999999935	0.399731093743909	0.511197891170447	0.23064444661047
0.736999999999935	0.399747720703594	0.51126781922743	0.230715854344022
0.737099999999935	0.399764344620505	0.51133774023669	0.2307872495263
0.737199999999935	0.399780965495995	0.511407654199833	0.230858632161245
0.737299999999935	0.399797583331415	0.51147756111846	0.230930002252802
0.737399999999935	0.399814198128118	0.511547460994173	0.231001359804917
0.737499999999935	0.399830809887451	0.511617353828572	0.231072704821542
0.737599999999935	0.399847418610766	0.511687239623257	0.23114403730663
0.737699999999935	0.39986402429941	0.511757118379826	0.231215357264139
0.737799999999935	0.399880626954731	0.511826990099875	0.23128666469803
0.737899999999935	0.399897226578076	0.511896854785001	0.231357959612265
0.737999999999935	0.39991382317079	0.511966712436798	0.23142924201081
0.738099999999935	0.399930416734219	0.51203656305686	0.231500511897637
0.738199999999935	0.399947007269707	0.51210640664678	0.231571769276716
0.738299999999935	0.399963594778597	0.512176243208148	0.231643014152024
0.738399999999935	0.399980179262232	0.512246072742556	0.23171424652754
0.738499999999935	0.399996760721954	0.512315895251593	0.231785466407244
0.738599999999935	0.400013339159104	0.512385710736846	0.231856673795123
0.738699999999935	0.400029914575021	0.512455519199902	0.231927868695164
0.738799999999935	0.400046486971045	0.512525320642348	0.231999051111357
0.738899999999935	0.400063056348514	0.512595115065768	0.232070221047696
0.738999999999935	0.400079622708766	0.512664902471747	0.232141378508177
0.739099999999935	0.400096186053138	0.512734682861865	0.232212523496801
0.739199999999935	0.400112746382965	0.512804456237706	0.23228365601757
0.739299999999935	0.400129303699583	0.512874222600849	0.232354776074489
0.739399999999935	0.400145858004325	0.512943981952873	0.232425883671566
0.739499999999935	0.400162409298526	0.513013734295357	0.232496978812812
0.739599999999935	0.400178957583519	0.513083479629878	0.232568061502243
0.739699999999935	0.400195502860633	0.513153217958012	0.232639131743873
0.739799999999935	0.400212045131202	0.513222949281333	0.232710189541724
0.739899999999935	0.400228584396554	0.513292673601415	0.232781234899817
0.739999999999935	0.400245120658019	0.513362390919831	0.232852267822178
0.740099999999935	0.400261653916926	0.513432101238152	0.232923288312834
0.740199999999935	0.400278184174602	0.51350180455795	0.232994296375818
0.740299999999935	0.400294711432374	0.513571500880793	0.233065292015161
0.740399999999935	0.400311235691568	0.513641190208249	0.233136275234902
0.740499999999935	0.40032775695351	0.513710872541886	0.233207246039078
0.740599999999935	0.400344275219523	0.51378054788327	0.233278204431731
0.740699999999935	0.400360790490931	0.513850216233966	0.233349150416906
0.740799999999935	0.400377302769058	0.513919877595537	0.233420083998651
0.740899999999935	0.400393812055224	0.513989531969547	0.233491005181014
0.740999999999935	0.400410318350751	0.514059179357558	0.233561913968049
0.741099999999935	0.400426821656959	0.514128819761129	0.233632810363811
0.741199999999935	0.400443321975167	0.51419845318182	0.233703694372357
0.741299999999935	0.400459819306695	0.51426807962119	0.233774565997748
0.741399999999935	0.40047631365286	0.514337699080797	0.233845425244046
0.741499999999935	0.400492805014979	0.514407311562196	0.233916272115317
0.741599999999935	0.400509293394368	0.514476917066943	0.23398710661563
0.741699999999935	0.400525778792343	0.514546515596591	0.234057928749056
0.741799999999935	0.400542261210218	0.514616107152695	0.234128738519666
0.741899999999935	0.400558740649307	0.514685691736805	0.234199535931538
0.741999999999935	0.400575217110923	0.514755269350473	0.234270320988749
0.742099999999935	0.400591690596378	0.514824839995249	0.23434109369538
0.742199999999935	0.400608161106983	0.514894403672681	0.234411854055515
0.742299999999935	0.400624628644049	0.514963960384317	0.234482602073238
0.742399999999935	0.400641093208885	0.515033510131703	0.23455333775264
0.742499999999935	0.400657554802801	0.515103052916385	0.234624061097809
0.742599999999935	0.400674013427104	0.515172588739907	0.23469477211284
0.742699999999935	0.400690469083101	0.515242117603814	0.234765470801828
0.742799999999935	0.4007069217721	0.515311639509646	0.23483615716887
0.742899999999935	0.400723371495405	0.515381154458945	0.234906831218067
0.742999999999934	0.400739818254322	0.515450662453251	0.234977492953522
0.743099999999934	0.400756262050155	0.515520163494104	0.235048142379339
0.743199999999934	0.400772702884206	0.515589657583041	0.235118779499627
0.743299999999934	0.400789140757779	0.515659144721599	0.235189404318495
0.743399999999934	0.400805575672174	0.515728624911314	0.235260016840055
0.743499999999934	0.400822007628693	0.515798098153721	0.235330617068422
0.743599999999934	0.400838436628635	0.515867564450354	0.235401205007712
0.743699999999934	0.4008548626733	0.515937023802744	0.235471780662043
0.743799999999934	0.400871285763987	0.516006476212424	0.235542344035539
0.743899999999934	0.400887705901992	0.516075921680925	0.235612895132321
0.743999999999934	0.400904123088613	0.516145360209775	0.235683433956517
0.744099999999934	0.400920537325145	0.516214791800503	0.235753960512253
0.744199999999934	0.400936948612884	0.516284216454636	0.23582447480366
0.744299999999934	0.400953356953124	0.516353634173701	0.235894976834871
0.744399999999934	0.400969762347159	0.516423044959223	0.23596546661002
0.744499999999934	0.400986164796282	0.516492448812726	0.236035944133244
0.744599999999934	0.401002564301784	0.516561845735732	0.236106409408682
0.744699999999934	0.401018960864956	0.516631235729765	0.236176862440475
0.744799999999934	0.40103535448709	0.516700618796345	0.236247303232767
0.744899999999934	0.401051745169474	0.516769994936991	0.236317731789703
0.744999999999934	0.401068132913398	0.516839364153224	0.23638814811543
0.745099999999934	0.401084517720149	0.516908726446559	0.236458552214098
0.745199999999934	0.401100899591015	0.516978081818515	0.236528944089859
0.745299999999934	0.401117278527282	0.517047430270608	0.236599323746868
0.745399999999934	0.401133654530236	0.51711677180435	0.236669691189278
0.745499999999934	0.401150027601162	0.517186106421257	0.23674004642125
0.745599999999934	0.401166397741343	0.517255434122841	0.236810389446942
0.745699999999934	0.401182764952063	0.517324754910612	0.236880720270517
0.745799999999934	0.401199129234604	0.517394068786083	0.236951038896138
0.745899999999934	0.401215490590248	0.517463375750761	0.237021345327973
0.745999999999934	0.401231849020276	0.517532675806156	0.237091639570188
0.746099999999934	0.401248204525968	0.517601968953775	0.237161921626955
0.746199999999934	0.401264557108604	0.517671255195123	0.237232191502444
0.746299999999934	0.401280906769461	0.517740534531707	0.23730244920083
0.746399999999934	0.401297253509817	0.51780980696503	0.237372694726289
0.746499999999934	0.40131359733095	0.517879072496595	0.237442928082999
0.746599999999934	0.401329938234136	0.517948331127905	0.23751314927514
0.746699999999934	0.40134627622065	0.51801758286046	0.237583358306892
0.746799999999934	0.401362611291766	0.518086827695761	0.237653555182441
0.746899999999934	0.401378943448758	0.518156065635306	0.23772373990597
0.746999999999934	0.4013952726929	0.518225296680594	0.237793912481668
0.747099999999934	0.401411599025463	0.518294520833121	0.237864072913724
0.747199999999934	0.401427922447719	0.518363738094383	0.237934221206329
0.747299999999934	0.401444242960939	0.518432948465875	0.238004357363675
0.747399999999934	0.401460560566392	0.51850215194909	0.238074481389958
0.747499999999934	0.401476875265348	0.518571348545522	0.238144593289373
0.747599999999934	0.401493187059074	0.518640538256662	0.23821469306612
0.747699999999934	0.40150949594884	0.518709721084001	0.238284780724398
0.747799999999934	0.40152580193591	0.518778897029029	0.238354856268409
0.747899999999934	0.401542105021551	0.518848066093233	0.238424919702357
0.747999999999934	0.401558405207029	0.518917228278102	0.238494971030447
0.748099999999934	0.401574702493608	0.518986383585122	0.238565010256886
0.748199999999934	0.401590996882551	0.519055532015778	0.238635037385884
0.748299999999934	0.401607288375121	0.519124673571556	0.23870505242165
0.748399999999934	0.40162357697258	0.519193808253938	0.238775055368398
0.748499999999934	0.40163986267619	0.519262936064407	0.238845046230341
0.748599999999934	0.401656145487212	0.519332057004445	0.238915025011694
0.748699999999934	0.401672425406904	0.519401171075531	0.238984991716676
0.748799999999934	0.401688702436526	0.519470278279145	0.239054946349504
0.748899999999934	0.401704976577336	0.519539378616766	0.239124888914401
0.748999999999934	0.401721247830592	0.51960847208987	0.239194819415587
0.749099999999934	0.40173751619755	0.519677558699935	0.239264737857288
0.749199999999934	0.401753781679466	0.519746638448435	0.239334644243728
0.749299999999934	0.401770044277595	0.519815711336844	0.239404538579134
0.749399999999934	0.401786303993192	0.519884777366636	0.239474420867736
0.749499999999934	0.401802560827509	0.519953836539283	0.239544291113764
0.749599999999934	0.401818814781801	0.520022888856256	0.239614149321449
0.749699999999934	0.401835065857319	0.520091934319025	0.239683995495025
0.749799999999934	0.401851314055314	0.52016097292906	0.239753829638728
0.749899999999934	0.401867559377036	0.520230004687828	0.239823651756793
0.749999999999934	0.401883801823736	0.520299029596797	0.239893461853458
0.750099999999934	0.401900041396663	0.520368047657433	0.239963259932963
0.750199999999934	0.401916278097064	0.5204370588712	0.24003304599955
0.750299999999934	0.401932511926187	0.520506063239564	0.24010282005746
0.750399999999934	0.401948742885278	0.520575060763986	0.240172582110939
0.750499999999934	0.401964970975585	0.52064405144593	0.24024233216423
0.750599999999934	0.401981196198351	0.520713035286855	0.240312070221582
0.750699999999934	0.401997418554821	0.520782012288223	0.240381796287242
0.750799999999934	0.402013638046239	0.520850982451492	0.240451510365461
0.750899999999934	0.402029854673847	0.52091994577812	0.24052121246049
0.750999999999934	0.402046068438888	0.520988902269564	0.240590902576581
0.751099999999934	0.402062279342603	0.52105785192728	0.240660580717989
0.751199999999934	0.402078487386232	0.521126794752724	0.240730246888969
0.751299999999934	0.402094692571016	0.521195730747348	0.240799901093779
