t	dT
0.135607167785222	0.129222038624655	0.125317167785222
0.135829821373244	0.129390473870615	0.125499821373244
0.136052474961267	0.129559879018242	0.12569
0.13627512854929	0.12973022180914	0.125867564274645
0.136497782137313	0.129901459792484	0.126057782137313
0.136720435725335	0.13007519257903	0.126240435725335
0.136943089313358	0.130247344161689	0.126433089313358
0.137165742901381	0.130420349012408	0.12660787145069
0.137388396489403	0.130594179083152	0.126798396489403
0.137611050077426	0.130768807335124	0.126981050077426
0.137833703665449	0.130944207694338	0.127173703665449
0.138056357253471	0.131120354900079	0.127356357253471
0.138279010841494	0.131297224671918	0.127539010841494
0.138501664429517	0.131474793652137	0.127731664429517
0.138724318017539	0.131653039317458	0.12791215900877
0.138946971605562	0.131831939897507	0.128096971605562
0.139169625193585	0.13201147443482	0.128289625193585
0.139392278781608	0.132191622744997	0.128472278781608
0.13961493236963	0.132372365361204	0.128662466184815
0.139837585957653	0.132553683502424	0.128847585957653
0.140060239545676	0.132735559009745	0.12904
0.140282893133698	0.13291809073452	0.129222893133698
0.140505546721721	0.133100451938293	0.12940777336086
0.140728200309744	0.133283342591724	0.129598200309744
0.140950853897766	0.1334667462486	0.129780853897766
0.141173507485789	0.133649919509184	0.129973507485789
0.141396161073812	0.133834053692277	0.130156161073812
0.141618814661834	0.134018665052473	0.130348814661834
0.141841468249857	0.134203725295429	0.130541468249857
0.14206412183788	0.134388056161692	0.13072206091894
0.142286775425903	0.134572866216027	0.130906775425903
0.142509429013925	0.13475814084115	0.131099429013925
0.142732082601948	0.134943865942368	0.131292082601948
0.142954736189971	0.135130027928814	0.131482368094985
0.143177389777993	0.135316613695418	0.131667389777993
0.143400043366016	0.135503610605539	0.131850043366016
0.143622696954039	0.135690973772362	0.132042696954039
0.143845350542061	0.135878147538585	0.132227675271031
0.144068004130084	0.136065720310076	0.132418004130084
0.144290657718107	0.136253680350181	0.132610657718107
0.144513311306129	0.136442016341952	0.132803311306129
0.144735964894152	0.136630717373198	0.132987982447076
0.144958618482175	0.136819031537266	0.133178618482175
0.145181272070197	0.137008170938661	0.133371272070197
0.14540392565822	0.137197654879802	0.13356196282911
0.145626579246243	0.137387473578669	0.133746579246243
0.145849232834266	0.137577617603368	0.133939232834266
0.146071886422288	0.137768077859647	0.134131886422288
0.146294540010311	0.137958845578843	0.134322270005155
0.146517193598334	0.138149912306325	0.134507193598334
0.146739847186356	0.138341269890287	0.134699847186356
0.146962500774379	0.138532910470967	0.134892500774379
0.147185154362402	0.138724826469616	0.135077577181201
0.147407807950424	0.138917010571381	0.135267807950424
0.147630461538447	0.13910945571116	0.135460461538447
0.14785311512647	0.139302155070658	0.13565311512647
0.148075768714492	0.139495102074089	0.135847884357246
0.148298422302515	0.139688290377537	0.136038422302515
