t;TC1;TC2;TC3;TC4;
34.502000;669.184384;653.452933;616.479333;-273.000000;
34.602000;669.145666;653.254611;616.548268;-273.000000;
34.702000;669.184657;653.191676;616.465866;-273.000000;
34.802000;669.076441;653.107605;616.344998;-273.000000;
34.902000;669.109549;652.993820;616.306386;-273.000000;
35.002000;668.928660;652.929315;616.190361;-273.000000;
35.102000;668.999674;652.899416;616.164479;-273.000000;
35.202000;668.877872;652.812181;616.067481;-273.000000;
35.302000;668.954982;652.764282;615.926168;-273.000000;
35.402000;668.819131;652.613176;615.637051;-273.000000;
35.502000;668.845704;652.699303;615.714762;-273.000000;
35.602000;668.755632;652.377202;615.580425;-273.000000;
35.702000;668.883796;652.539264;615.640466;-273.000000;
35.802000;668.713513;652.404241;615.525760;-273.000000;
35.902000;668.640793;652.361368;615.414866;-273.000000;
36.002000;668.600373;652.160745;615.219331;-273.000000;
36.102000;668.558985;652.140573;615.295934;-273.000000;
36.202000;668.502725;652.161864;615.274687;-273.000000;
36.302000;668.455293;651.987124;615.033966;-273.000000;
36.402000;668.498819;651.926411;615.005859;-273.000000;
36.502000;668.342572;651.810345;614.832199;-273.000000;
36.602000;668.495567;651.847919;614.791099;-273.000000;
36.702000;668.395883;651.546870;614.655158;-273.000000;
36.802000;668.435781;651.732850;614.727729;-273.000000;
36.902000;668.289831;651.709364;614.583755;-273.000000;
37.002000;668.262275;651.659617;614.545965;-273.000000;
37.102000;668.093797;651.399180;614.379244;-273.000000;
37.202000;668.210543;651.345228;614.411089;-273.000000;
37.302000;668.125814;651.202926;614.298709;-273.000000;
37.402000;668.116323;651.291971;614.262426;-273.000000;
37.500000;668.045389;651.222895;613.988459;-273.000000;
37.600000;667.954682;651.167961;614.178965;-273.000000;
37.700000;667.930929;651.030378;614.149782;-273.000000;
37.800000;667.820263;650.913339;613.871882;-273.000000;
37.900000;667.942858;650.977682;613.869791;-273.000000;
38.000000;667.833966;650.978674;613.688403;-273.000000;
38.100000;667.872011;650.742604;613.754112;-273.000000;
38.200000;667.763853;650.764839;613.621050;-273.000000;
38.300000;667.797418;650.637207;613.491426;-273.000000;
38.400000;667.633003;650.524541;613.355400;-273.000000;
38.500000;667.744750;650.494766;613.304453;-273.000000;
38.600000;667.435466;650.398747;613.368879;-273.000000;
38.700000;667.563516;650.404006;613.301365;-273.000000;
38.800000;667.454534;650.302529;613.134268;-273.000000;
38.900000;667.525721;650.242193;613.104906;-273.000000;
39.000000;667.328121;650.075133;612.910974;-273.000000;
39.100000;667.397308;649.960317;613.015526;-273.000000;
39.200000;667.383008;650.017510;612.894315;-273.000000;
39.300000;667.290476;649.868716;612.744818;-273.000000;
39.400000;667.382937;649.821044;612.853644;-273.000000;
39.500000;667.257363;649.822450;612.766659;-273.000000;
39.600000;667.183168;649.780157;612.438706;-273.000000;
39.700000;667.159247;649.799334;612.577838;-273.000000;
39.800000;667.166116;649.509412;612.366609;-273.000000;
39.900000;667.054011;649.574742;612.333494;-273.000000;
40.000000;666.996118;649.489997;612.365688;-273.000000;
40.100000;666.933076;649.245292;612.140641;-273.000000;
40.200000;666.995095;649.246830;612.185344;-273.000000;
40.300000;667.024218;649.308959;611.990900;-273.000000;
40.400000;666.843534;649.116010;611.900935;-273.000000;
40.500000;666.972853;649.140806;611.853059;-273.000000;
40.600000;666.811368;648.948346;611.576732;-273.000000;
40.700000;666.662829;649.030897;611.932629;-273.000000;
40.800000;666.710608;648.795447;611.542603;-273.000000;
40.900000;666.773061;648.929021;611.549812;-273.000000;
41.000000;666.589432;648.679002;611.324912;-273.000000;
41.100000;666.704245;648.803431;611.432091;-273.000000;
41.200000;666.648461;648.616987;611.114547;-273.000000;
41.300000;666.516187;648.528526;611.302285;-273.000000;
41.400000;666.498974;648.495668;611.194859;-273.000000;
41.500000;666.345382;648.455387;611.134868;-273.000000;
41.600000;666.385479;648.482596;610.914532;-273.000000;
41.700000;666.262479;648.323939;610.906762;-273.000000;
41.800000;666.472489;648.410594;610.950879;-273.000000;
41.900000;666.193179;648.208872;610.673506;-273.000000;
42.000000;666.174513;648.156109;610.746997;-273.000000;
42.100000;666.149216;648.107786;610.628591;-273.000000;
42.200000;666.001713;647.936155;610.491250;-273.000000;
42.300000;666.158758;647.922269;610.519115;-273.000000;
42.400000;665.935784;647.767759;610.290259;-273.000000;
42.500000;666.001676;647.651092;610.412241;-273.000000;
42.600000;665.959042;647.724110;610.239624;-273.000000;
42.700000;665.791697;647.598888;610.185468;-273.000000;
42.800000;665.970766;647.690095;610.155932;-273.000000;
42.900000;665.810066;647.558407;609.955315;-273.000000;
43.000000;665.900084;647.531615;609.943529;-273.000000;
43.100000;665.701866;647.375066;609.789403;-273.000000;
43.200000;665.667132;647.378337;609.868924;-273.000000;
43.300000;665.668734;647.303316;609.721115;-273.000000;
43.400000;665.614666;647.273765;609.655153;-273.000000;
43.500000;665.517000;647.154977;609.707153;-273.000000;
43.600000;665.659453;647.015591;609.444906;-273.000000;
43.700000;665.555953;647.078487;609.417271;-273.000000;
43.800000;665.434287;646.957090;609.215935;-273.000000;
43.900000;665.431318;646.997114;609.374891;-273.000000;
44.000000;665.379997;646.813058;609.040965;-273.000000;
44.100000;665.365858;646.760020;609.041000;-273.000000;
44.200000;665.357803;646.763630;609.049026;-273.000000;
44.300000;665.239168;646.758118;609.062394;-273.000000;
44.400000;665.232095;646.537560;609.021679;-273.000000;
44.500000;665.109545;646.467548;608.721576;-273.000000;
44.600000;665.256961;646.474848;608.764294;-273.000000;
44.700000;665.079171;646.392022;608.575785;-273.000000;
44.800000;665.143463;646.434346;608.625432;-273.000000;
44.900000;665.019032;646.138814;608.401644;-273.000000;
45.000000;665.070505;646.242003;608.359938;-273.000000;
45.100000;664.892700;646.030127;608.413765;-273.000000;
