t	fd_A	fd_V
0.466099999999965	0.150512182064902	0.0707235215249335	0.127279999999972
0.468099999999965	0.151722757338542	0.0715533490852842	0.128759999999975
0.470099999999965	0.152921840273922	0.0723810959186109	0.130239999999975
0.472099999999964	0.154081872467764	0.07318438354878	0.131729999999971
0.474099999999964	0.155238745197375	0.0739902658335633	0.133209999999971
0.476099999999964	0.156400337867516	0.0748032006786812	0.134689999999975
0.478099999999964	0.157557858061853	0.0756182066280367	0.136179999999971
0.480099999999963	0.158715181987852	0.0764364178071127	0.137659999999974
0.482099999999963	0.159874442938335	0.0772608741326343	0.139149999999971
0.484099999999963	0.161029107660603	0.0780852888986485	0.140629999999974
0.486099999999963	0.162153802821741	0.0788932498915236	0.14211999999997
0.488099999999963	0.163260684501363	0.0796908098105796	0.143599999999974
0.490099999999962	0.164355997972198	0.0804843761605388	0.14508999999997
0.492099999999962	0.165459440292201	0.0812867418612456	0.146569999999973
0.494099999999962	0.16656232536282	0.0820927983568511	0.14805999999997
0.496099999999962	0.167669914336262	0.0829053875655478	0.149549999999969
0.498099999999961	0.168830880586375	0.0837446655282612	0.151029999999973
0.500099999999961	0.169992995020614	0.0845844486414176	0.152519999999973
0.502099999999961	0.171143668077614	0.0854210958978538	0.154009999999969
0.504099999999961	0.172250866100399	0.0862280489226482	0.155489999999973
0.506099999999961	0.173356928698806	0.0870383964885644	0.156979999999972
0.50809999999996	0.17445824753919	0.087848361930657	0.158469999999972
0.51009999999996	0.175573645874519	0.0886732621831043	0.159959999999968
0.51209999999996	0.176669814252048	0.0894865744249691	0.161449999999968
0.51409999999996	0.177764814885263	0.0903032593533848	0.162939999999968
0.516099999999959	0.178814940617344	0.0910894445466197	0.164419999999972
0.518099999999959	0.179872880538001	0.0918848167561196	0.165909999999971
0.520099999999959	0.180928477260832	0.0926732917907412	0.167399999999971
0.522099999999959	0.18203356529636	0.0934902229241828	0.168889999999971
0.524099999999959	0.183127257194389	0.0943029425237691	0.170379999999971
0.526099999999958	0.18422647723971	0.0951227828937503	0.171869999999971
0.528099999999958	0.185332770652128	0.0959524378993388	0.173359999999971
0.530099999999958	0.186428539229356	0.0967768244144781	0.174849999999971
0.532099999999958	0.18752457622599	0.0976054356882339	0.17633999999997
0.534099999999958	0.188586251496285	0.0984108765406464	0.17782999999997
0.536099999999957	0.189658960498562	0.0992277089208167	0.179329999999966
0.538099999999957	0.19071356662419	0.100034232396414	0.180819999999966
0.540099999999957	0.191784367037859	0.100856131034869	0.182309999999965
0.542099999999957	0.192852567000128	0.101679706965017	0.18379999999997
0.544099999999956	0.19391697472455	0.102503020067252	0.185289999999969
0.546099999999956	0.195023613627626	0.103352336162791	0.186779999999969
0.548099999999956	0.196135150944763	0.104200149726676	0.188279999999965
0.550099999999956	0.197258447781242	0.105060374675006	0.189769999999969
0.552099999999956	0.198346591045022	0.105897795296647	0.191259999999969
