t	fs
5.27400000000105	0.505127785689722	0.52867999999956
5.27600000000104	0.505297873408141	0.528879999999559
5.27800000000104	0.505467935782377	0.529079999999558
5.28000000000103	0.505637972801449	0.529279999999557
5.28200000000103	0.505807984414932	0.529479999999556
5.28400000000102	0.505977970643104	0.529679999999556
5.28600000000102	0.506147917475588	0.529879999999555
5.28800000000101	0.506317827492894	0.530079999999554
5.29000000000101	0.506487712171084	0.530279999999553
5.29200000000101	0.506657571456046	0.530479999999552
5.294000000001	0.506827405122663	0.530679999999552
5.296000000001	0.506997213032647	0.530879999999551
5.29800000000099	0.507166995172327	0.53107999999955
5.30000000000099	0.50733673659848	0.531279999999549
5.30200000000098	0.507506445769397	0.531479999999548
5.30400000000098	0.507676128981275	0.531679999999548
5.30600000000097	0.507845805549084	0.531879999999547
5.30800000000097	0.508015458237114	0.532079999999546
5.31000000000096	0.508185072655875	0.532279999999545
5.31200000000096	0.508354661023796	0.532479999999544
5.31400000000095	0.50852422339838	0.532679999999544
5.31600000000095	0.508693759836545	0.532879999999543
5.31800000000094	0.508863270383874	0.533079999999542
5.32000000000094	0.509032755011127	0.533279999999541
5.32200000000094	0.509202213733878	0.53347999999954
5.32400000000093	0.509371646562842	0.53367999999954
5.32600000000093	0.50954105352551	0.533879999999539
5.32800000000092	0.509710434651033	0.534079999999538
5.33000000000092	0.509879789993627	0.534279999999537
5.33200000000091	0.510049119543197	0.534479999999536
5.33400000000091	0.510218423273404	0.534679999999536
5.3360000000009	0.510387701192295	0.534879999999535
5.3380000000009	0.510556953309204	0.535079999999534
5.34000000000089	0.510726179543528	0.535279999999533
5.34200000000089	0.510895379821625	0.535479999999532
5.34400000000088	0.51106454783105	0.535679999999532
5.34600000000088	0.511233657903536	0.535879999999531
5.34800000000087	0.511402737833757	0.53607999999953
5.35000000000087	0.511571791890651	0.536279999999529
5.35200000000087	0.511740820029176	0.536479999999528
5.35400000000086	0.511909798461741	0.536679999999528
5.35600000000086	0.512078749906762	0.536879999999527
5.35800000000085	0.512247675665372	0.537079999999526
5.36000000000085	0.512416575737565	0.537279999999525
5.36200000000084	0.512585450109534	0.537479999999524
5.36400000000084	0.5127542864898	0.537679999999524
5.36600000000083	0.512923082236404	0.537879999999523
5.36800000000083	0.513091852476008	0.538079999999522
5.37000000000082	0.513260597254612	0.538279999999521
5.37200000000082	0.513429316590765	0.53847999999952
5.37400000000081	0.513598010440816	0.53867999999952
5.37600000000081	0.513766678785981	0.538879999999519
5.3780000000008	0.513935321464949	0.539079999999518
5.3800000000008	0.514103938266814	0.539279999999517
5.3820000000008	0.514272529051387	0.539479999999516
5.38400000000079	0.514441093768473	0.539679999999516
5.38600000000079	0.514609621393335	0.539879999999515
5.38800000000078	0.514778106497376	0.540079999999514
5.39000000000078	0.514946554085077	0.540279999999513
5.39200000000077	0.515114966300644	0.540479999999512
5.39400000000077	0.515283339455177	0.540679999999512
5.39600000000076	0.51545167228855	0.540879999999511
5.39800000000076	0.515619942910931	0.54107999999951
5.40000000000075	0.515788187870439	0.541279999999509
5.40200000000075	0.515956407177393	0.541479999999508
5.40400000000074	0.516124600753506	0.541679999999508
5.40600000000074	0.516292768515504	0.541879999999507
5.40800000000073	0.516460910449212	0.542079999999506
5.41000000000073	0.516629026541621	0.542279999999505
5.41200000000073	0.516797116792525	0.542479999999504
5.41400000000072	0.516965181242798	0.542679999999504
5.41600000000072	0.517133219924982	0.542879999999503
5.41800000000071	0.517301232800333	0.543079999999502
5.42000000000071	0.517469219782309	0.543279999999501
5.4220000000007	0.517637180820849	0.5434799999995
5.4240000000007	0.517805115890841	0.5436799999995
5.42600000000069	0.517973024997511	0.543879999999499
5.42800000000069	0.518140908146757	0.544079999999498
5.43000000000068	0.518308765335315	0.544279999999497
5.43200000000068	0.518476596583093	0.544479999999496
5.43400000000067	0.518644401874912	0.544679999999496
5.43600000000067	0.518812168615919	0.544879999999495
5.43800000000067	0.518979901108089	0.545079999999494
5.44000000000066	0.519147607785786	0.545279999999493
5.44200000000066	0.519315288680443	0.545479999999492
5.44400000000065	0.519482943792254	0.545679999999492
5.44600000000065	0.519650573134605	0.545879999999491
5.44800000000064	0.519818176715062	0.54607999999949
5.45000000000064	0.519985754535118	0.546279999999489
5.45200000000063	0.520153306598988	0.546479999999488
5.45400000000063	0.520320821627398	0.546679999999488
5.45600000000062	0.520488297168453	0.546879999999487
5.45800000000062	0.520655737693594	0.547079999999486
5.46000000000061	0.520823169375978	0.547279999999485
5.46200000000061	0.52099057487602	0.547479999999484
5.4640000000006	0.521157954191903	0.547679999999484
5.4660000000006	0.521325289974027	0.547879999999483
5.4680000000006	0.521492596599317	0.548079999999482
5.47000000000059	0.521659877089472	0.548279999999481
5.47200000000059	0.521827131416866	0.54847999999948
5.47400000000058	0.52199435952811	0.54867999999948
5.47600000000058	0.522161561387445	0.548879999999479
5.47800000000057	0.522328736963587	0.549079999999478
5.48000000000057	0.522495886203401	0.549279999999477
5.48200000000056	0.522663000683728	0.549479999999476
5.48400000000056	0.522830076217324	0.549679999999476
5.48600000000055	0.522997125408113	0.549879999999475
5.48800000000055	0.523164148257006	0.550079999999474
5.49000000000054	0.523331144727888	0.550279999999473
5.49200000000054	0.523498114842993	0.550479999999472
5.49400000000053	0.523665058601771	0.550679999999472
5.49600000000053	0.523831976006344	0.550879999999471
5.49800000000053	0.523998867012247	0.55107999999947
5.50000000000052	0.524165720753235	0.551279999999469
5.50200000000052	0.524332539217472	0.551479999999468
5.50400000000051	0.524499331246545	0.551679999999468
5.50600000000051	0.524666096854611	0.551879999999467
5.5080000000005	0.524832836019406	0.552079999999466
5.5100000000005	0.524999529821568	0.552279999999465
5.51200000000049	0.525166190989858	0.552479999999464
5.51400000000049	0.525332825880315	0.552679999999464
5.51600000000048	0.525499413796287	0.552879999999463
5.51800000000048	0.525665968500948	0.553079999999462
5.52000000000047	0.52583249691235	0.553279999999461
5.52200000000047	0.525998999028958	0.55347999999946
5.52400000000046	0.526165474874956	0.55367999999946
5.52600000000046	0.526331924484629	0.553879999999459
5.52800000000046	0.526498346830362	0.554079999999458
5.53000000000045	0.526664723050234	0.554279999999457
5.53200000000045	0.526831073186077	0.554479999999456
5.53400000000044	0.52699739726538	0.554679999999456
5.53600000000044	0.527163695237212	0.554879999999455
5.53800000000043	0.527329967005201	0.555079999999454
5.54000000000043	0.527496212493833	0.555279999999453
5.54200000000042	0.527662431668365	0.555479999999452
5.54400000000042	0.527828624554262	0.555679999999452
5.54600000000041	0.527994791184044	0.555879999999451
5.54800000000041	0.528160931581885	0.55607999999945
