t;y = 0.116 m;y = 0.109 m;y = 0.101 m;y = 0.094 m;y = 0.086 m;y = 0.079 m;y = 0.071 m;y = 0.064 m;y = 0.056 m;y = 0.049 m;y = 0.041 m;y = 0.034 m;y = 0.026 m;y = 0.019 m;y = 0.011 m;y = 0.004 m;
12.300000;676.448179;676.068536;675.688893;675.179559;674.601072;673.922292;672.421042;670.919792;668.584722;664.763056;660.941389;653.053515;644.905426;629.386703;611.338422;593.290141;
12.400000;676.392857;676.038571;675.684286;675.217474;674.609579;673.898512;672.359583;670.820655;668.458222;664.621556;660.784889;652.708963;644.526684;629.397063;611.541438;593.685813;
12.500000;676.424661;676.096982;675.769304;675.159487;674.563039;673.815351;672.254458;670.693565;668.381312;664.494437;660.607562;652.603235;644.423824;629.287297;611.575578;593.863859;
12.600000;676.418714;676.060143;675.701571;675.244434;674.662197;673.930393;672.360750;670.791107;668.398243;664.448451;660.498660;652.493618;644.263912;629.268406;611.721844;594.175281;
12.700000;676.482161;676.089482;675.696804;675.088467;674.519849;673.855917;672.253417;670.650917;668.167049;664.203090;660.239132;652.189772;643.867640;628.913266;611.534359;594.155453;
12.800000;676.300036;675.936107;675.572179;675.168322;674.593783;673.886125;672.239875;670.593625;668.101611;664.143278;660.184944;651.893676;643.561618;628.958406;611.671844;594.385281;
12.900000;676.454857;676.110571;675.766286;675.221349;674.609704;673.770720;672.128042;670.485363;668.106410;664.091618;660.076826;652.010882;643.665588;628.893703;611.675422;594.457141;
13.000000;676.435786;676.059357;675.682929;675.120612;674.527914;673.851929;672.195500;670.539071;667.963625;663.909875;659.856125;651.583118;643.188412;628.606531;611.478719;594.350906;
13.100000;676.323786;675.967357;675.610929;675.176441;674.554928;673.735583;672.053083;670.370583;667.874722;663.813056;659.751389;651.530426;643.130868;628.556078;611.484047;594.412016;
13.200000;676.455839;676.118518;675.781196;675.208000;674.548000;673.747518;672.061625;670.375732;667.861812;663.749937;659.638062;651.428868;642.966662;628.413328;611.408797;594.404266;
13.300000;676.440964;676.074893;675.708821;675.098151;674.464796;673.666899;671.965292;670.263685;667.658750;663.526250;659.393750;651.064794;642.528029;628.033531;611.085719;594.137906;
13.400000;676.328857;675.954571;675.580286;675.053204;674.435638;673.670452;671.951167;670.231881;667.657542;663.516292;659.375042;650.917199;642.385507;628.021984;611.078391;594.134797;
